axRightAxis,ayRightAxis,azRightAxis,gxRightAxis,gyRightAxis,gzRightAxis,axLeftAxis,ayLeftAxis,azLeftAxis,gxLeftAxis,gyLeftAxis,gzLeftAxis
0.071438754,0.289096595,0.210599216,2384.568664,2488.04925,1789.299704,0.097597208,0.295178053,0.200608988,1333.62713,2985.354642,2148.434388
0.07621585,0.267222979,0.184710851,3315.162653,3675.534187,2769.891962,0.074844637,0.193534584,0.186745799,1286.53027,3933.472486,2227.42828
0.091604598,0.313462194,0.197866821,3815.808196,3334.00889,3301.373749,0.119561602,0.244396339,0.208728792,1786.208268,4219.964914,3451.582911
0.047428106,0.293451387,0.191413971,4142.900799,3793.472826,2863.832166,0.05808252,0.243824375,0.186194917,1900.727337,4935.710159,3903.105679
