1,2,3,4,5,6,7,8,9,10,11,12
0.010797133,0.034947732,0.090835731,1683.323805,262.761152,255.4516432,0.005536712,0.040843777,0.063234275,3078.609372,173.7524371,1301.381898
0.016214149,0.045877111,0.117558224,1394.162136,65.12861975,293.2231665,0.015043091,0.029182681,0.062700018,4168.210813,86.08318947,1307.372202
0.011386319,0.032625053,0.013325598,1142.399525,90.46429175,65.2024298,0.002576826,0.024746929,0.012292189,248.9956125,70.53644823,83.86726754
0.011386319,0.032625053,0.013325598,1142.399525,90.46429175,65.2024298,0.002576826,0.024746929,0.012292189,248.9956125,70.53644823,83.86726754
0.014540143,0.004006178,0.018139861,76.8088027,176.2217364,64.14053938,0.015205131,0.013383995,0.010588998,98.64425499,221.4731652,16.71660945
0.022603186,0.00243637,0.02918603,5.339126702,107.8320342,7.000924645,0.028759372,0.008630163,0.02132904,22.92064783,99.48017482,3.45258442
0.025335501,0.017580242,0.084976769,474.8599068,578.4722631,71.77955635,0.022099581,0.033647994,0.035286904,414.3598247,227.5726254,53.72743407
0.009296723,0.001430411,0.01599881,2.824540167,119.7182024,7.157768174,0.01158025,0.005457522,0.006261005,30.56709942,112.1611605,4.708994487
0.001009165,0.02129936,0.025196913,201.5554497,5.121318247,11.4919137,0.00301292,0.020181733,0.036483545,174.7688902,36.58922647,24.69945336
0.00096427,0.027569382,0.024456486,194.1319907,9.563396293,11.35889395,0.003542194,0.027166604,0.028148109,193.6034339,29.34746968,19.66743756
0.001854297,0.02077886,0.015885754,100.3870495,9.163829854,11.68944774,0.003581337,0.019381728,0.034632719,117.4247039,17.02479131,11.40063429
