1,2,3,4,5,6,7,8,9,10,11,12
0.16746097,0.136483498,0.028396619,681.6303822,573.5941739,2322.723109,0.076453024,0.062617384,0.039295639,202.2603678,424.5633401,949.5538122
0.139309897,0.045924181,0.05983581,1397.683735,789.0648124,959.6763403,0.047395511,0.051685911,0.022668125,232.4321721,165.7924247,755.5362569
0.056585025,0.034942678,0.007388274,115.9186307,92.7748069,963.2869382,0.05038691,0.035172317,0.007655994,146.4398737,69.12460813,920.0548775
0.161019347,0.106992285,0.047709297,442.3707667,724.1853624,1984.234125,0.033414772,0.076311812,0.028354947,221.5938891,245.4956944,1074.739071
0.102628423,0.027576855,0.004779351,66.33734202,49.98432661,1218.56171,0.102572297,0.018058253,0.004318728,53.53505895,189.4904817,1169.819808
0.039116073,0.032071207,0.012439299,134.0103831,11.37422031,465.7126192,0.061993151,0.013471341,0.003230552,55.15287762,14.19036167,521.3101732
0.146269304,0.017179203,0.003832886,57.98947405,110.9950369,1306.489732,0.12621682,0.014232741,0.013694883,92.31517445,114.2280116,1243.453864
0.069271646,0.030088761,0.013364898,119.268543,76.33835258,959.4680638,0.089074972,0.017984787,0.007537001,109.5029995,60.91225179,923.5299375
0.018520835,0.036951546,0.006182887,109.4312668,53.15625979,544.7035632,0.021746698,0.050328833,0.002090056,165.5350996,68.8796714,617.0627609
0.006797823,0.074363863,0.012926269,329.3155266,72.9251393,317.2130433,0.012738766,0.06639095,0.019093009,245.5174103,86.95397931,400.8554531
0.003866914,0.025402355,0.008052444,205.4826437,43.81418196,222.4638896,0.001774259,0.028319996,0.001872729,304.9831677,74.84683647,375.0777554
