axRightAxis,ayRightAxis,azRightAxis,gxRightAxis,gyRightAxis,gzRightAxis,axLeftAxis,ayLeftAxis,azLeftAxis,gxLeftAxis,gyLeftAxis,gzLeftAxis
0.11662653,0.267894601,0.212660949,1930.052661,3315.167361,2362.049748,0.085467409,0.252989704,0.173644745,1275.45317,2528.80838,2040.6184
0.115743681,0.319925498,0.290598982,1841.947148,4331.833769,2288.213538,0.08261891,0.342827925,0.226830013,1059.277303,2921.313807,2792.248853
0.146914016,0.33059357,0.30724294,2696.339401,4729.982557,1893.854275,0.088375295,0.354256575,0.245069891,1732.850579,3275.339721,2103.94229
0.121300303,0.368368239,0.328959347,2534.808167,5092.279753,1762.665269,0.094754317,0.336055662,0.280224076,1888.677701,3725.113454,1839.629859
